,Drug1_ID
304,DB01255
305,DB00731
306,DB01284
307,DB09310
308,DB01241
309,DB01406
310,DB00446
311,DB01053
312,DB00910
313,DB00042
314,DB00585
315,DB00349
316,DB01197
317,DB00293
318,DB01132
319,DB00153
320,DB06292
321,DB01598
322,DB00737
323,DB01273
324,DB01129
325,DB00953
326,DB00515
327,DB01222
328,DB06698
329,DB00776
330,DB00028
331,DB01394
332,DB11181
333,DB00982
334,DB09128
335,DB01126
336,DB01369
337,DB01013
338,DB01275
339,DB01306
340,DB00577
341,DB01042
342,DB09033
343,DB00308
344,DB01551
345,DB01101
346,DB09167
347,DB00331
348,DB01225
349,DB00379
350,DB06637
351,DB01251
352,DB11080
353,DB00091
354,DB00763
355,DB04835
356,DB06283
357,DB00238
358,DB00493
359,DB09059
360,DB01592
361,DB00046
362,DB00998
363,DB00312
364,DB00557
365,DB01073
366,DB09265
367,DB06403
368,DB01353
369,DB00898
370,DB08867
371,DB00565
372,DB00203
373,DB00484
374,DB00715
375,DB01294
376,DB01355
377,DB00672
378,DB00854
379,DB01337
380,DB00377
381,DB00006
382,DB00333
383,DB00486
384,DB09074
385,DB00311
386,DB00613
387,DB00893
388,DB06211
389,DB08820
390,DB01320
391,DB00593
392,DB00929
393,DB04924
394,DB09083
395,DB00471
396,DB06372
397,DB00313
398,DB09056
399,DB00468
400,DB01120
401,DB09020
402,DB00993
403,DB09131
404,DB00461
405,DB01181
406,DB01046
407,DB09477
408,DB00727
409,DB00078
410,DB01400
411,DB09288
412,DB01001
413,DB09274
414,DB00082
415,DB06605
416,DB01150
417,DB06527
418,DB01162
419,DB05246
420,DB00535
421,DB00832
422,DB00414
423,DB00068
424,DB06262
425,DB01009
426,DB01587
427,DB00639
428,DB00251
429,DB00303
430,DB00369
431,DB00350
432,DB09545
433,DB01463
434,DB01708
435,DB06781
436,DB00502
437,DB01380
438,DB01190
439,DB06825
440,DB09075
441,DB00769
442,DB00831
443,DB00498
444,DB00960
445,DB00871
446,DB00262
447,DB00413
448,DB00255
449,DB00559
450,DB01164
451,DB00190
452,DB00804
453,DB06204
454,DB00683
455,DB01198
456,DB01204
457,DB09063
458,DB01217
459,DB00977
460,DB00460
461,DB00268
462,DB00637
463,DB00596
464,DB01124
465,DB00368
466,DB01276
467,DB01609
468,DB00692
469,DB00085
470,DB00429
471,DB00324
472,DB00552
473,DB00309
474,DB00392
475,DB00260
476,DB08877
477,DB04871
478,DB09270
479,DB00962
480,DB00287
481,DB00488
482,DB09065
483,DB01239
484,DB01016
485,DB00709
486,DB09257
487,DB00821
488,DB01249
489,DB00775
490,DB00666
491,DB00949
492,DB00328
493,DB01133
494,DB09048
495,DB09100
496,DB00717
497,DB00285
498,DB01004
499,DB01560
500,DB05773
501,DB00500
502,DB06589
503,DB01147
504,DB00550
505,DB09026
506,DB06723
507,DB00109
508,DB00889
509,DB00395
510,DB00781
511,DB00297
512,DB09061
513,DB08992
514,DB00318
515,DB00957
516,DB00200
517,DB09071
518,DB08916
519,DB06186
520,DB01062
521,DB05239
522,DB01111
523,DB00743
524,DB01038
525,DB00959
526,DB08826
527,DB00112
528,DB00208
529,DB00437
530,DB01291
531,DB01005
532,DB00444
533,DB01082
534,DB01280
535,DB01163
536,DB00584
537,DB09099
538,DB01032
539,DB00883
540,DB00481
541,DB06820
542,DB00009
543,DB01610
544,DB08910
545,DB00850
546,DB08905
547,DB00020
548,DB00165
549,DB00609
550,DB09220
551,DB01563
552,DB00387
553,DB00654
554,DB06819
555,DB00406
556,DB00170
557,DB06786
558,DB09027
559,DB00755
560,DB01166
561,DB00760
562,DB00948
563,DB06789
564,DB00969
565,DB00478
566,DB00479
567,DB00043
568,DB00237
569,DB08886
570,DB00974
571,DB01413
572,DB06145
573,DB09210
574,DB00394
575,DB00991
576,DB01208
577,DB01072
578,DB01151
579,DB06168
580,DB00448
581,DB06282
582,DB01155
583,DB01260
584,DB00162
585,DB00005
586,DB01178
587,DB00213
588,DB00665
589,DB08933
590,DB00571
591,DB02901
592,DB01285
593,DB00052
594,DB00987
595,DB00933
596,DB00989
597,DB06717
598,DB01270
599,DB00602
600,DB00246
601,DB00344
602,DB00402
603,DB01069
604,DB05679
605,DB00263
606,DB00054
607,DB08902
608,DB10675
609,DB00449
610,DB00178
611,DB00981
612,DB00771
613,DB01113
614,DB00551
615,DB00390
616,DB06788
617,DB09401
618,DB00475
619,DB09036
620,DB06480
621,DB00496
622,DB00376
623,DB08880
624,DB00770
625,DB00581
626,DB01223
627,DB00072
628,DB00441
629,DB00653
630,DB01248
631,DB00873
632,DB08860
633,DB09153
634,DB00421
635,DB00397
636,DB00107
637,DB00081
638,DB01319
639,DB00612
640,DB00708
641,DB09029
642,DB01764
643,DB00741
644,DB00210
645,DB06697
646,DB00399
647,DB08813
648,DB01594
649,DB09391
650,DB00227
651,DB09135
652,DB00677
653,DB00966
654,DB09097
655,DB00690
656,DB00339
657,DB00698
658,DB00202
659,DB01254
660,DB00278
661,DB09279
662,DB00803
663,DB00643
664,DB01083
665,DB00895
666,DB01142
667,DB01607
668,DB03128
669,DB06218
670,DB06643
671,DB01395
672,DB01501
673,DB01577
674,DB00023
675,DB00302
676,DB09009
677,DB00283
678,DB00767
679,DB04897
680,DB00607
681,DB06219
682,DB00373
683,DB04855
684,DB00689
685,DB00622
686,DB09303
687,DB00738
688,DB09269
689,DB09236
690,DB00351
691,DB00296
692,DB00881
693,DB06704
694,DB09266
695,DB09085
696,DB04572
697,DB04837
698,DB00455
699,DB04910
700,DB00961
701,DB01235
702,DB01130
703,DB06401
704,DB00740
705,DB00951
706,DB00869
707,DB00370
708,DB05528
709,DB08932
710,DB06659
711,DB00173
712,DB00356
713,DB00615
714,DB01140
715,DB00428
716,DB01081
717,DB00919
718,DB01330
719,DB01328
720,DB09054
721,DB00050
722,DB00389
723,DB01604
724,DB03793
725,DB00301
726,DB00422
727,DB09069
728,DB00700
729,DB01399
730,DB00842
731,DB00477
732,DB06699
733,DB08931
734,DB06790
735,DB00875
736,DB01259
737,DB00880
738,DB01085
739,DB06196
740,DB06702
741,DB00122
742,DB01597
743,DB01354
744,DB00489
745,DB01086
746,DB00290
747,DB00761
748,DB00828
749,DB01229
750,DB01030
751,DB09119
752,DB04946
753,DB01171
754,DB00341
755,DB01268
756,DB00411
757,DB00275
758,DB00523
759,DB00198
760,DB00728
761,DB01174
762,DB00261
763,DB00187
764,DB01621
765,DB09078
766,DB00605
767,DB09052
768,DB01076
769,DB00512
770,DB08815
771,DB00443
772,DB09547
773,DB06826
774,DB09043
775,DB00930
776,DB00563
777,DB06714
778,DB00291
779,DB06777
780,DB01559
781,DB00575
782,DB01014
783,DB00543
784,DB09123
785,DB01088
786,DB01165
787,DB08869
788,DB01080
789,DB00611
790,DB00980
791,DB00425
792,DB00983
793,DB00215
794,DB00806
795,DB00997
796,DB00651
797,DB00337
798,DB01215
799,DB00746
800,DB00420
801,DB09290
802,DB01045
803,DB05271
804,DB10631
805,DB01144
806,DB01112
807,DB00937
808,DB06594
809,DB11249
810,DB01167
811,DB00252
812,DB00069
813,DB08899
814,DB00104
815,DB01242
816,DB00277
817,DB01332
818,DB01109
819,DB01029
820,DB01344
821,DB09211
822,DB09273
823,DB00569
824,DB00884
825,DB01627
826,DB00669
827,DB00682
828,DB04574
829,DB00150
830,DB00304
831,DB00524
832,DB00036
833,DB00343
834,DB06792
835,DB06626
836,DB00648
837,DB04905
838,DB00852
839,DB00521
840,DB00787
841,DB00276
842,DB01010
843,DB01099
844,DB00514
845,DB00560
846,DB04951
847,DB00536
848,DB00830
849,DB06730
850,DB00820
851,DB00967
852,DB08795
853,DB00391
854,DB09221
855,DB06212
856,DB00882
857,DB01033
858,DB01068
859,DB00098
860,DB09046
861,DB01298
862,DB01195
863,DB09038
864,DB09118
865,DB01438
866,DB00065
867,DB09539
868,DB04825
869,DB01137
870,DB01351
871,DB08879
872,DB00694
873,DB01100
874,DB01269
875,DB01128
876,DB00802
877,DB09066
878,DB00863
879,DB11135
880,DB01149
881,DB06271
882,DB01048
883,DB09407
884,DB00946
885,DB01583
886,DB00346
887,DB01544
888,DB00503
889,DB08882
890,DB09082
891,DB04908
892,DB00089
893,DB00909
894,DB00872
895,DB00838
896,DB08816
897,DB04839
898,DB00573
899,DB05245
900,DB00359
901,DB00846
902,DB00542
903,DB01183
904,DB00925
905,DB00601
906,DB00924
907,DB06335
908,DB00248
909,DB08941
910,DB06290
911,DB00598
912,DB00357
913,DB00427
914,DB09125
915,DB01581
916,DB00816
917,DB00159
918,DB01398
919,DB00051
920,DB00688
921,DB09112
922,DB00270
923,DB00017
924,DB01022
925,DB00531
926,DB00184
927,DB04348
928,DB00230
929,DB01221
930,DB01200
931,DB01232
932,DB00867
933,DB01264
934,DB00726
935,DB02701
936,DB00724
937,DB01590
938,DB00353
939,DB00474
940,DB01606
941,DB06209
942,DB00704
943,DB04570
944,DB01011
945,DB01026
946,DB00687
947,DB00115
948,DB00912
949,DB00640
950,DB00073
951,DB00553
952,DB00480
953,DB00257
954,DB09156
955,DB06719
956,DB04854
957,DB01095
958,DB08889
959,DB09143
960,DB00545
961,DB00211
962,DB00412
963,DB00083
964,DB00847
965,DB00583
966,DB10283
967,DB00400
968,DB01603
969,DB00788
970,DB00696
971,DB00917
972,DB00758
973,DB06785
974,DB09130
975,DB09117
976,DB00452
977,DB00288
978,DB09101
979,DB00618
980,DB11248
981,DB00964
982,DB00367
983,DB00244
984,DB04711
985,DB00039
986,DB00492
987,DB01049
988,DB00578
989,DB09030
990,DB00668
991,DB00656
992,DB00965
993,DB00014
994,DB01220
995,DB05676
996,DB00259
997,DB00229
998,DB01074
999,DB00528
1000,DB00319
1001,DB00401
1002,DB01114
1003,DB09042
1004,DB00476
1005,DB06724
1006,DB00747
1007,DB00673
1008,DB01612
1009,DB00280
1010,DB06153
1011,DB00857
1012,DB11122
1013,DB01618
1014,DB08794
1015,DB00191
1016,DB00714
1017,DB05829
1018,DB00232
1019,DB00355
1020,DB04920
1021,DB09104
1022,DB00721
1023,DB01435
1024,DB09096
1025,DB09330
1026,DB01060
1027,DB00906
1028,DB00214
1029,DB01066
1030,DB00547
1031,DB01110
1032,DB00876
1033,DB04911
1034,DB08912
1035,DB08870
1036,DB00764
1037,DB01250
1038,DB00835
1039,DB06822
1040,DB00451
1041,DB01024
1042,DB01593
1043,DB00430
1044,DB08947
1045,DB00181
1046,DB04895
1047,DB00338
1048,DB09262
1049,DB01277
1050,DB00684
1051,DB09517
1052,DB09214
1053,DB00199
1054,DB01207
1055,DB01118
1056,DB06817
1057,DB00320
1058,DB00652
1059,DB01307
1060,DB00056
1061,DB00686
1062,DB00544
1063,DB08897
1064,DB00979
1065,DB06696
1066,DB08865
1067,DB11315
1068,DB05351
1069,DB09072
1070,DB06288
1071,DB01054
1072,DB00074
1073,DB00440
1074,DB05521
1075,DB06813
1076,DB08893
1077,DB00739
1078,DB01018
1079,DB00267
1080,DB05109
1081,DB01143
1082,DB01327
1083,DB00582
1084,DB00491
1085,DB00188
1086,DB01586
1087,DB01253
1088,DB01265
1089,DB01436
1090,DB08872
1091,DB01233
1092,DB06287
1093,DB01173
1094,DB00322
1095,DB00018
1096,DB01047
1097,DB00393
1098,DB00841
1099,DB01159
1100,DB00358
1101,DB00855
1102,DB01427
1103,DB00176
1104,DB00860
1105,DB06754
1106,DB00586
1107,DB01333
1108,DB09060
1109,DB00765
1110,DB00818
1111,DB00086
1112,DB00163
1113,DB00282
1114,DB00035
1115,DB00177
1116,DB00843
1117,DB00773
1118,DB00829
1119,DB11256
1120,DB00849
1121,DB08824
1122,DB01582
1123,DB09064
1124,DB00250
1125,DB00780
1126,DB01202
1127,DB09162
1128,DB00294
1129,DB06216
1130,DB09285
1131,DB01440
1132,DB00405
1133,DB00061
1134,DB08901
1135,DB06148
1136,DB00472
1137,DB00110
1138,DB00837
1139,DB00382
1140,DB00900
1141,DB02300
1142,DB01620
1143,DB01219
1144,DB00335
1145,DB00768
1146,DB00180
1147,DB08874
1148,DB01236
1149,DB08930
1150,DB04868
1151,DB09208
1152,DB00907
1153,DB01329
1154,DB11095
1155,DB01184
1156,DB00193
1157,DB00801
1158,DB00029
1159,DB01182
1160,DB00619
1161,DB00945
1162,DB00864
1163,DB01602
1164,DB01511
1165,DB09147
1166,DB04842
1167,DB00284
1168,DB01064
1169,DB03619
1170,DB06701
1171,DB00169
1172,DB04831
1173,DB00720
1174,DB08918
1175,DB01281
1176,DB00458
1177,DB01205
1178,DB00404
1179,DB01023
1180,DB08917
1181,DB00388
1182,DB00703
1183,DB06176
1184,DB09166
1185,DB10532
1186,DB01282
1187,DB01357
1188,DB06707
1189,DB04817
1190,DB00459
1191,DB01138
1192,DB01020
1193,DB06769
1194,DB00610
1195,DB00554
1196,DB00274
1197,DB01257
1198,DB02703
1199,DB04844
1200,DB09281
1201,DB00245
1202,DB00742
1203,DB09067
1204,DB09050
1205,DB09287
1206,DB00120
1207,DB00019
1208,DB00317
1209,DB00316
1210,DB01071
1211,DB00281
1212,DB01437
1213,DB00887
1214,DB00834
1215,DB11124
1216,DB11222
1217,DB06684
1218,DB00631
1219,DB09286
1220,DB00759
1221,DB00063
1222,DB08439
1223,DB01364
1224,DB09073
1225,DB00041
1226,DB06690
1227,DB04845
1228,DB01262
1229,DB06688
1230,DB06655
1231,DB06412
1232,DB00307
1233,DB00844
1234,DB01070
1235,DB01393
1236,DB02659
1237,DB01323
1238,DB09282
1239,DB06210
1240,DB00986
1241,DB11156
1242,DB01567
1243,DB09295
1244,DB00923
1245,DB01367
1246,DB00269
1247,DB00519
1248,DB01408
1249,DB00410
1250,DB00877
1251,DB00749
1252,DB01201
1253,DB00988
1254,DB01058
1255,DB00482
1256,DB01104
1257,DB04938
1258,DB00059
1259,DB00811
1260,DB00240
1261,DB00364
1262,DB00891
1263,DB08934
1264,DB00675
1265,DB00595
1266,DB00813
1267,DB01115
1268,DB00273
1269,DB00201
1270,DB00315
1271,DB09035
1272,DB00757
1273,DB09301
1274,DB00026
1275,DB01381
1276,DB00325
1277,DB00657
1278,DB00146
1279,DB00916
1280,DB01613
1281,DB07615
1282,DB00599
1283,DB01158
1284,DB00417
1285,DB00334
1286,DB01390
1287,DB09122
1288,DB00658
1289,DB06767
1290,DB01037
1291,DB00927
1292,DB01614
1293,DB11093
1294,DB09049
1295,DB01139
1296,DB09560
1297,DB01119
1298,DB00158
1299,DB00206
1300,DB00378
1301,DB08883
1302,DB00016
1303,DB06410
1304,DB09278
1305,DB00323
1306,DB00166
1307,DB04339
1308,DB09255
1309,DB01021
1310,DB00706
1311,DB00736
1312,DB00681
1313,DB05278
1314,DB00374
1315,DB01117
1316,DB01175
1317,DB00899
1318,DB00105
1319,DB09146
1320,DB00456
1321,DB01019
1322,DB00182
1323,DB00513
1324,DB00258
1325,DB09222
1326,DB00766
1327,DB01591
1328,DB09079
1329,DB00642
1330,DB00999
1331,DB01489
1332,DB09077
1333,DB00745
1334,DB01050
1335,DB08906
1336,DB00853
1337,DB01193
1338,DB00956
1339,DB00539
1340,DB01605
1341,DB06779
1342,DB00398
1343,DB01168
1344,DB00928
1345,DB00195
1346,DB00752
1347,DB06402
1348,DB00918
1349,DB00361
1350,DB06715
1351,DB00197
1352,DB00485
1353,DB09289
1354,DB01261
1355,DB00691
1356,DB09275
1357,DB00047
1358,DB01000
1359,DB08907
1360,DB00903
1361,DB02546
1362,DB00938
1363,DB00606
1364,DB01131
1365,DB01296
1366,DB00103
1367,DB00216
1368,DB09268
1369,DB00108
1370,DB01161
1371,DB09055
1372,DB00220
1373,DB08896
1374,DB00136
1375,DB01211
1376,DB01234
1377,DB00508
1378,DB06663
1379,DB01418
1380,DB00564
1381,DB00100
1382,DB01176
1383,DB00530
1384,DB00007
1385,DB00958
1386,DB09183
1387,DB00697
1388,DB00222
1389,DB00822
1390,DB01012
1391,DB01206
1392,DB09293
1393,DB01067
1394,DB08873
1395,DB00952
1396,DB08864
1397,DB01059
1398,DB00603
1399,DB01177
1400,DB01003
1401,DB00332
1402,DB06692
1403,DB00438
1404,DB04861
1405,DB09209
1406,DB09039
1407,DB00537
1408,DB01238
1409,DB01057
1410,DB00314
1411,DB01172
1412,DB01192
1413,DB01611
1414,DB00241
1415,DB00660
1416,DB01098
1417,DB06228
1418,DB08976
1419,DB01106
1420,DB00808
1421,DB06414
1422,DB00734
1423,DB00186
1424,DB06824
1425,DB00783
1426,DB00713
1427,DB01169
1428,DB00266
1429,DB00040
1430,DB00423
1431,DB09564
1432,DB01407
1433,DB00490
1434,DB00022
1435,DB01416
1436,DB00833
1437,DB00608
1438,DB00175
1439,DB06237
1440,DB00650
1441,DB00442
1442,DB00013
1443,DB08935
1444,DB00628
1445,DB04876
1446,DB00087
1447,DB00819
1448,DB00529
1449,DB00415
1450,DB09134
1451,DB00641
1452,DB00784
1453,DB00625
1454,DB00445
1455,DB00839
1456,DB05015
1457,DB00196
1458,DB00904
1459,DB04982
1460,DB01194
1461,DB01878
1462,DB00223
1463,DB01558
1464,DB00360
1465,DB06366
1466,DB01189
1467,DB00950
1468,DB00774
1469,DB06201
1470,DB00218
1471,DB00031
1472,DB00861
1473,DB04841
1474,DB00021
1475,DB00520
1476,DB00932
1477,DB00352
1478,DB04571
1479,DB11057
1480,DB01263
1481,DB06808
1482,DB00371
1483,DB06404
1484,DB00408
1485,DB00470
1486,DB01410
1487,DB00567
1488,DB08909
1489,DB00012
1490,DB00905
1491,DB09102
1492,DB00375
1493,DB00972
1494,DB09272
1495,DB06799
1496,DB00366
1497,DB01403
1498,DB09235
1499,DB00008
1500,DB06711
1501,DB08822
1502,DB06603
1503,DB06413
1504,DB09241
1505,DB09242
1506,DB11110
1507,DB04953
1508,DB00555
1509,DB00254
1510,DB06802
1511,DB09080
1512,DB00235
1513,DB01340
